iter	RMSE
0	28.55861058
1	27.668939
2	26.69299425
3	25.8104023
4	24.97691473
5	24.26439233
6	23.61544207
7	22.90034582
8	22.23223837
9	21.7255893
10	21.08399587
11	20.48223658
12	19.94512803
13	19.45144945
14	19.01474147
15	18.44454992
16	18.05023416
17	17.63157032
18	17.19637062
19	16.78737377
20	16.458461
21	16.10913509
22	15.74302983
23	15.44819572
24	15.08465355
25	14.80359911
26	14.55584478
27	14.27300761
28	14.02129231
29	13.78246342
30	13.56818941
31	13.3281717
32	13.07221635
33	12.82089398
34	12.55420544
35	12.41164615
36	12.26783079
37	12.09473933
38	11.92611093
39	11.75322124
40	11.57150821
41	11.44636769
42	11.33968035
43	11.22384588
44	11.0713524
45	10.96512932
46	10.87775136
47	10.82381933
48	10.74155045
49	10.64150603
50	10.54993176
51	10.42879104
52	10.31702015
53	10.24633188
54	10.19186611
55	10.11324782
56	10.04151302
57	9.945737466
58	9.85294957
59	9.771917168
60	9.708534249
61	9.648428614
62	9.58314323
63	9.49781332
64	9.418608399
65	9.332812969
66	9.2625626
67	9.223470704
68	9.171481231
69	9.125936312
70	9.063837491
71	9.009799974
72	8.978725905
73	8.91773524
74	8.866522554
75	8.829951317
76	8.775069836
77	8.721089576
78	8.651718374
79	8.609236892
80	8.540387145
81	8.457935994
82	8.435590496
83	8.410312202
84	8.388406824
85	8.356534593
86	8.336688116
87	8.306191717
88	8.250692655
89	8.202597761
90	8.176753736
91	8.145945634
92	8.077740207
93	8.056675934
94	7.997884473
95	7.940362471
96	7.906477499
97	7.889113418
98	7.85485997
99	7.83973777
100	7.824642557
101	7.781106362
102	7.764738413
103	7.727593282
104	7.683740863
105	7.639726042
106	7.574055361
107	7.54750241
108	7.485058133
109	7.462780909
110	7.412860749
111	7.398642498
112	7.36695126
113	7.350875316
114	7.33963561
115	7.320248167
116	7.27928912
117	7.257437643
118	7.241994862
119	7.233544536
120	7.205040942
121	7.186803914
122	7.179794305
123	7.162044899
124	7.137509585
125	7.120459741
126	7.110152503
127	7.095536989
128	7.065939468
129	7.053514895
130	7.021457943
131	7.012699818
132	6.984898211
133	6.969583265
134	6.949350221
135	6.927478579
136	6.905806515
137	6.873572678
138	6.86830952
139	6.858926565
140	6.846345527
141	6.821841444
142	6.786681178
143	6.75311677
144	6.741399874
145	6.723726361
146	6.704601472
147	6.670850376
148	6.631989503
149	6.617425719
150	6.604848812
151	6.59618751
152	6.588027617
153	6.584292808
154	6.558298323
155	6.547438032
156	6.52448287
157	6.508125137
158	6.475497817
159	6.46776244
160	6.454449382
161	6.441700524
162	6.419313696
163	6.393306742
164	6.382869326
165	6.371045853
166	6.351516411
167	6.337047955
168	6.319309818
169	6.299774397
170	6.285593219
171	6.250731485
172	6.230549677
173	6.199030895
174	6.189073565
175	6.170721267
176	6.136736964
177	6.120035506
178	6.113927724
179	6.083909362
180	6.040704003
181	6.03723956
182	6.0275466
183	6.011227781
184	6.002372924
185	5.972539626
186	5.959853041
187	5.928902293
188	5.887835405
189	5.857232129
190	5.841677327
191	5.831191324
192	5.819924982
193	5.795900579
194	5.763211231
195	5.745897276
196	5.743395299
197	5.735585996
198	5.713652597
199	5.699275142
