iter	Passed	Remaining
0	1	223
1	1	194
2	2	170
3	3	156
4	3	150
5	4	150
6	5	157
7	7	171
8	7	166
9	8	161
10	9	158
11	9	155
12	10	150
13	11	146
14	11	143
15	12	141
16	13	145
17	14	144
18	15	144
19	15	142
20	16	140
21	17	138
22	17	136
23	18	136
24	19	137
25	20	138
26	21	137
27	22	136
28	22	134
29	23	133
30	24	131
31	25	132
32	25	131
33	26	130
34	27	128
35	27	127
36	28	125
37	29	124
38	29	122
39	30	121
40	31	121
41	32	120
42	32	119
43	33	118
44	34	117
45	34	116
46	35	116
47	36	116
48	37	115
49	38	114
50	38	113
51	39	111
52	39	110
53	40	109
54	41	108
55	41	106
56	42	105
57	42	104
58	43	103
59	43	102
60	44	101
61	45	100
62	45	99
63	46	98
64	47	97
65	47	96
66	48	96
67	49	95
68	49	94
69	50	93
70	51	93
71	52	92
72	52	91
73	53	90
74	54	90
75	54	89
76	55	88
77	56	87
78	56	86
79	57	86
80	58	85
81	58	84
82	59	83
83	60	83
84	61	82
85	61	82
86	62	81
87	63	80
88	64	79
89	64	79
90	65	78
91	66	77
92	66	76
93	67	76
94	68	75
95	68	74
96	69	73
97	70	73
98	70	72
99	71	71
100	72	71
101	73	70
102	74	69
103	74	69
104	75	68
105	76	67
106	77	66
107	77	66
108	78	65
109	78	64
110	79	63
111	80	63
112	81	62
113	81	61
114	82	60
115	83	60
116	83	59
117	84	58
118	85	58
119	85	57
120	86	56
121	87	55
122	87	55
123	88	54
124	89	53
125	89	52
126	90	52
127	91	51
128	91	50
129	92	49
130	93	49
131	93	48
132	94	47
133	95	46
134	95	46
135	96	45
136	97	44
137	98	44
138	98	43
139	99	42
140	99	41
141	100	41
142	101	40
143	102	39
144	102	39
145	103	38
146	104	37
147	104	36
148	105	36
149	106	35
150	107	34
151	107	34
152	108	33
153	109	32
154	110	31
155	110	31
156	111	30
157	111	29
158	112	28
159	113	28
160	113	27
161	114	26
162	115	26
163	116	25
164	117	24
165	117	24
166	118	23
167	119	22
168	119	21
169	120	21
170	121	20
171	121	19
172	122	19
173	123	18
174	123	17
175	124	16
176	125	16
177	125	15
178	126	14
179	127	14
180	128	13
181	128	12
182	129	12
183	130	11
184	130	10
185	131	9
186	132	9
187	132	8
188	133	7
189	134	7
190	135	6
191	135	5
192	136	4
193	137	4
194	137	3
195	138	2
196	138	2
197	140	1
198	140	0
199	141	0
