image,time,count,final_count
img_1.jpg,1.10 PM,7,70
img_2.jpg,1.20 PM,14,85
img_3.jpg,1.26 PM,6,80
img_4.jpg,1.35 PM,4,90
img_5.jpg,1.45 PM,7,100
img_6.jpg,1.55 PM,8,100
img_7.jpg,10.00 AM,0,0
img_8.jpg,10.16 AM,0,0
img_9.jpg,10.30 AM,0,0
img_10.jpg,10.30 PM,1,0
img_11.jpg,10.45 AM,0,0
img_12.jpg,11.00 AM,0,0
img_13.jpg,11.20 AM,1,0
img_14.jpg,11.30 AM,0,0
img_15.jpg,11.40 AM,0,0
img_16.jpg,12.00 PM,19,21
img_17.jpg,12.05 PM,7,20
img_18.jpg,12.10 PM,10,8
img_19.jpg,12.15 PM,12,15
img_20.jpg,12.20 PM,8,7
img_21.jpg,12.30 PM,5,25
img_22.jpg,12.40 PM,13,60
img_23.jpg,12.50 PM,15,23
img_24.jpg,2.00 PM,9,100
img_25.jpg,2.05 PM,9,18
img_26.jpg,2.20 PM,10,14
img_27.jpg,3.15 PM,0,0
img_28.jpg,4.20 PM,0,0
img_29.jpg,6.15 PM,0,0
img_30.jpg,6.20 AM,0,0
img_31.jpg,6.20 PM,0,0
img_32.jpg,6.28 PM,0,0
img_33.jpg,6.40 AM,0,0
img_34.jpg,6.41 PM,0,0
img_35.jpg,7.05 AM,7,9
img_36.jpg,7.05 PM,14,11
img_37.jpg,7.10 AM,18,14
img_38.jpg,7.10 PM,3,2
img_39.jpg,7.15 AM,9,6
img_40.jpg,7.15 PM,17,20
img_41.jpg,7.20 AM,7,20
img_42.jpg,7.20 PM,19,22
img_43.jpg,7.30 AM,13,55
img_44.jpg,7.30 PM,12,65
img_45.jpg,7.45 AM,8,70
img_46.jpg,7.45 PM,3,45
img_47.jpg,7.55 AM,5,23
img_48.jpg,7.55 PM,9,30
img_49.jpg,8.00 AM,5,46
img_50.jpg,8.00 PM,10,80
img_51.jpg,8.10 PM,10,90
img_52.jpg,8.15 AM,13,47
img_53.jpg,8.15 PM,3,47
img_54.jpg,8.18 AM,8,60
img_55.jpg,8.20 AM,10,70
img_56.jpg,8.30 AM,16,90
img_57.jpg,8.30 PM,0,58
img_58.jpg,8.40 AM,15,100
img_59.jpg,8.50 PM,12,60
img_60.jpg,9.10 AM,18,35
img_61.jpg,9.10 PM,5,5
img_62.jpg,9.15 AM,10,85
img_63.jpg,9.15 PM,14,65
